photonum,A_Type_R1,A_Size_R1,B_Type_R1,B_Size_R1,C_Type_R1,C_Size_R1,C_Type_R2,C_Size_R2,D_Type_R1,D_Size_R1,D_Type_R2,D_Size_R2,E_Type_R1,E_Size_R1,E_Type_R2,E_Size_R2
4722,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
4744,bull,6,bull,6,bull,6,bull,6,bull,6,bull,7,bull,6,bull,6
4746,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
5131,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3
5146,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
5149,bull,9,bull,10,mixed,9,bull,9,bull,9,bull,10,bull,9,bull,9
5161,family,5,bull,5,family,5,family,5,family,5,family,5,family,5,bull,4
5172,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
5301,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3
5412,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,13
5433,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
5450,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
5544,family,30,mixed,30,mixed,30,mixed,30,mixed,30,mixed,30,mixed,29,mixed,29
5783,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
5806,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
5821,bull,2,bull,2,bull,2,bull,2,family,2,bull,2,bull,2,bull,2
5840,mixed,20,mixed,20,mixed,19,mixed,20,mixed,20,mixed,21,mixed,20,mixed,20
6115,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
6116,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,bull,6
6238,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
6459,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
6482,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
6716,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
7112,bull,5,bull,5,bull,6,bull,6,bull,5,bull,6,bull,2,bull,2
7132,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
7382,mixed,71,mixed,69,mixed,71,mixed,71,mixed,71,mixed,75,mixed,70,mixed,72
7414,bull,5,bull,4,bull,5,bull,5,bull,5,bull,5,bull,5,bull,5
7444,bull,4,bull,3,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4
7558,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
7845,family,21,family,22,family,21,mixed,23,family,24,mixed,26,mixed,21,mixed,20
7846,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
8091,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3
8465,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
8477,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
8778,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
8796,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
9075,mixed,41,mixed,40,mixed,40,mixed,40,mixed,40,mixed,46,mixed,40,mixed,40
9201,bull,3,bull,3,bull,3,bull,3,mixed,3,bull,3,mixed,3,bull,3
9221,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
9374,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
9414,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
9449,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
9460,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
9869,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
